project,neighborhood,status,sold_out,str_allowed,str_detail,price_from,bedrooms,commission,delivery,delivery_year,architect,lead_developer,url_slug,developer_page_slug
Season One Brickell,Brickell,Under Construction,No,Yes,Yes,,Studio to 2 Bedrooms,,Q2 2028,2028,Kobi Karp Architecture & Interior Design,Habitat Group,preconstruction-brickell-season-one-brickell,developers-habitat-group
Seventeen Gables,Coral Gables,Under Construction,No,No,No,,1 to 3 Bedrooms,0.06,Q1 2028,2028,Asprea Studio,Ascendra Capital,preconstruction-coral-gables-seventeen-gables,developers-ascendra-capital
Shoma Bay,North Bay Village,Under Construction,No,No,No,,Studio to 3 Bedrooms (4BR Duplex PH Available),0.05,Q4 2027,2027,MSA Architects,Shoma Group,preconstruction-north-bay-village-shoma-bay,developers-shoma-group
Smart Brickell II,Brickell,Topped Off,Yes,Yes,Yes/Airbnb & Building Prog.,,,,Q2 2026,2026,HAC Architects,Habitat Group,preconstruction-brickell-smart-brickell-ii,developers-habitat-group
Smart Brickell III,Brickell,Under Construction,No,Yes,Yes/Airbnb & Building Prog.,,,,2028,2028,HAC Architects,Habitat Group,preconstruction-brickell-smart-brickell-iii,developers-habitat-group
Solina Bay Harbor,Bay Harbor Islands,Topped Off,No,Unknown,,,2 to 4 Bedrooms,,Q2 2026,2026,Carl Levin Architects + Design,RedHoek+,preconstruction-bay-harbor-islands-solina-bay-harbor,developers-redhoek
St. Regis Residences Miami,Brickell,Under Construction,No,No,No,,2 to 6 Bedrooms,0.06,Q4 2027,2027,Robert A.M. Stern Architects,Related Group,preconstruction-brickell-st-regis-residences-miami,developers-related-group
St. Regis Residences Sunny Isles Beach North,Sunny Isles Beach,Under Construction,No,No,No,,2 to 5 Bedrooms,0.05,Q4 2029,2029,Arquitectonica,Fortune International Group,preconstruction-sunny-isles-beach-st-regis-residences-sunny-isles-beach-north,developers-fortune-international-group
St. Regis Residences Sunny Isles Beach South,Sunny Isles Beach,Under Construction,No,No,No,,2 to 5 Bedrooms,0.05,Q4 2028,2028,Arquitectonica,Fortune International Group,preconstruction-sunny-isles-beach-st-regis-residences-sunny-isles-beach-south,developers-fortune-international-group
Surf Row Residences,Surfside,Under Construction,No,No,No,,1 to 3 Bedrooms,0.05,Q2 2027,2027,Boris Pena Architects,LD&D,preconstruction-surfside-surf-row-residences,developers-ld-d
