building,neighborhood,units,floors,year_built,str_allowed,str_detail,architect,lead_developer,url_slug,developer_page_slug
Ocean Park,South of Fifth,9,4,2023,Unknown,,Revuelta Architecture International,Multiplan Real Estate Asset Management,condos-south-of-fifth-ocean-park,developers-multiplan-real-estate-asset-management
Ocean Place East,South of Fifth,25,8,2003,Unknown,,,,condos-south-of-fifth-ocean-place-east,developers
Ocean Place West,South of Fifth,23,8,2004,Unknown,,,,condos-south-of-fifth-ocean-place-west,developers
Ocean Seven,Surfside,7,4,2014,Unknown,,,,condos-surfside-ocean-seven,developers
Ocean Three,Sunny Isles Beach,215,38,2003,Unknown,,,Related Group,condos-sunny-isles-beach-ocean-three,developers-related-group
Ocean Tower One,Key Biscayne,111,,2002,Unknown,,,,condos-key-biscayne-ocean-tower-one,developers
Ocean Tower Two,Key Biscayne,111,,2001,Unknown,,,,condos-key-biscayne-ocean-tower-two,developers
Ocean Two,Sunny Isles Beach,253,42,2001,Unknown,,,Related Group,condos-sunny-isles-beach-ocean-two,developers-related-group
Oceana Bal Harbour North,Bal Harbour,99,28,2016,Unknown,,Arquitectonica,Consultatio Real Estate,condos-bal-harbour-oceana-bal-harbour-north,developers-consultatio-real-estate
Oceana Bal Harbour South,Bal Harbour,137,28,2016,Unknown,,Arquitectonica,Consultatio Real Estate,condos-bal-harbour-oceana-bal-harbour-south,developers-consultatio-real-estate
Oceana Key Biscayne North,Key Biscayne,70,15,2014,Unknown,,Arquitectonica,Consultatio Real Estate,condos-key-biscayne-oceana-key-biscayne-north,developers-consultatio-real-estate
Oceana Key Biscayne South,Key Biscayne,71,15,2014,Unknown,,Arquitectonica,Consultatio Real Estate,condos-key-biscayne-oceana-key-biscayne-south,developers-consultatio-real-estate
Oceana Key Biscayne Villas,Key Biscayne,12,2,2014,Unknown,,Arquitectonica,Consultatio Real Estate,condos-key-biscayne-oceana-key-biscayne-villas,developers-consultatio-real-estate
Oceanside,Fisher Island,,,,Unknown,,,Fisher Island Holdings,condos-fisher-island-oceanside,developers-fisher-island-holdings
Oceansound at Key Colony,Key Biscayne,311,12,1979,Unknown,,,,condos-key-biscayne-oceansound-at-key-colony,developers
Onda Residences,Bay Harbor Islands,41,8,2024,Unknown,,Arquitectonica,CMC Group,condos-bay-harbor-islands-onda-residences,developers-cmc-group
One Bal Harbour,Bal Harbour,184,26,2007,No,No,,,condos-bal-harbour-one-bal-harbour,developers
One Bay Harbor,Bay Harbor Islands,17,7,2019,Unknown,,,Tross Group,condos-bay-harbor-islands-one-bay-harbor,developers-tross-group
One Bay Residences,Miami Design District,38,3,2018,Unknown,,IDEA Architects,G&L Real Estate Development,condos-miami-design-district-one-bay-residences,developers-g-l-real-estate-development
One Grove Isle,Coconut Grove,167,19,1979,Unknown,,,Martin Z. Margulies,condos-coconut-grove-one-grove-isle,developers-martin-z-margulies
One Island Place I,Aventura,112,30,1990,Unknown,,,,condos-aventura-one-island-place-i,developers
One Island Place II,Aventura,115,30,1991,Unknown,,,,condos-aventura-one-island-place-ii,developers
One Miami East,Downtown Miami,451,44,2005,No,No,,,condos-downtown-miami-one-miami-east,developers
One Miami West,Downtown Miami,440,45,2005,No,No,,,condos-downtown-miami-one-miami-west,developers
One Ocean,South of Fifth,49,7,2016,Unknown,,TEN Arquitectos,Related Group,condos-south-of-fifth-one-ocean,developers-related-group
One Paraiso,Edgewater,273,53,2018,No,No,Arquitectonica,Related Group,condos-edgewater-one-paraiso,developers-related-group
One Park Grove,Coconut Grove,66,23,2020,No,No,Office for Metropolitan Architecture,Related Group,condos-coconut-grove-one-park-grove,developers-related-group
One Tequesta Point,Brickell Key,287,30,1995,No,No,,Swire Properties,condos-brickell-key-one-tequesta-point,developers-swire-properties
