company,type,developments,headquarters,url_slug
Midtown Development,Development Company,2,"5701 Sunset Dr, Suite 350, South Miami, Florida 33143",developers-midtown-development
Midtown Group,Development Company,2,,developers-midtown-group
Morris Design Group USA,Interior Design Firm,2,,developers-morris-design-group-usa
Office for Metropolitan Architecture,Architecture Firm,2,"Weena-Zuid 158, 3012 NC Rotterdam, Netherlands",developers-office-for-metropolitan-architecture
One Thousand Group,Development Company,2,"1040 Biscayne Blvd, Miami, FL 33132",developers-one-thousand-group
Oren Development,Development Company,2,"1418 Commodore Way, Hollywood, FL 33019",developers-oren-development
PPG Development,Development Company,2,"501 Diplomat Parkway, Hallandale Beach, FL 33009",developers-ppg-development
Rene Gonzalez Architect,Architecture Firm,2,"670 NE 50th Ter, Miami, FL 33137",developers-rene-gonzalez-architect
Richardson Sadeki,Interior Design Firm,2,"161 6th Avenue, 11th Floor, New York, NY 10013",developers-richardson-sadeki
Rilea Group,Development Company,2,"1200 Brickell Ave., Suite 1200, Miami, FL 33131",developers-rilea-group
Rosso Development,Development Company,2,"8431 S.W. 52nd Ave, Miami, FL 33143",developers-rosso-development
Shefaor Development,Development Company,2,,developers-shefaor-development
STA Architectural Group,Interior Design Firm,2,"3526 North Miami Avenue, Miami FL 33127",developers-sta-architectural-group
Stantec,Architecture Firm,2,"10220 103 Ave NW Suite 300, Edmonton, AB T5J 0K4, Canada",developers-stantec
Stripey Real Estate Development,Development Company,2,"2800 Biscayne Blvd, Suite 310, Miami, FL 33137",developers-stripey-real-estate-development
Studio Mc+G Architecture,Architecture Firm,2,"230 NE  97th Street, Miami Shores, FL33138",developers-studio-mc-g-architecture
Studio Munge,Interior Design Firm,2,"25 Wingold Avenue, Toronto, Ontario M6B 1P8, CA",developers-studio-munge
Tara Bernerd & Partners,Interior Design Firm,2,"1 Hans Street, London SW1X 0JD, United Kingdom",developers-tara-bernerd-partners
TEN Arquitectos,Architecture Firm,2,"Cuernavaca 114, PB, Col. Condesa, CP 06140, Ciudad de México, Mexico",developers-ten-arquitectos
The One Atelier,Interior Design Firm,2,"2 Babmaes Street, London SW1Y 6HD, United Kingdom",developers-the-one-atelier
The Standard,Brand Partner,2,"23 East 4th Street, 5th Floor, New York, NY 10003",developers-the-standard
THE WELL,Brand Partner,2,"2 East 15th Street, New York, NY 10003",developers-the-well
Viceroy Hotel & Resorts,Brand Partner,2,"870 7th Avenue, 2nd Floor, New York, NY 10019",developers-viceroy-hotel-resorts
Witkoff,Development Company,2,"233 Broadway, New York, NY 10279",developers-witkoff
Zaha Hadid Architects,Architecture Firm,2,"101 Goswell Road, London, EC1V 7EZ, United Kingdom",developers-zaha-hadid-architects
1 Hotels,Brand Partner,1,,developers-1-hotels
1000 Biscayne Tower LLC,Development Company,1,"1000 Biscayne Blvd, Miami, FL 33132",developers-1000-biscayne-tower-llc
1508 London,Interior Design Firm,1,"7 Howick Place, London, SW1P 1BB, United Kingdom",developers-1508-london
AB Asset Management,Development Partner,1,"66 W Flagler Street, Miami, Florida 33130",developers-ab-asset-management
Access Industries,Development Company,1,"40 W 57th St, 28th Floor, New York, NY 10019",developers-access-industries
Accor,Hospitality Operator,1,"Issy-les-Moulineaux, Île-de-France,",developers-accor
Africa Israel Investments Ltd,Development Company,1,"1 Yael Man, Ramat Hasharon, 4734501, Israel",developers-africa-israel-investments-ltd
AGM Aria,Development Company,1,"51 E 12th St, Fl 7. New York, NY 10003",developers-agm-aria
Aksoy Holdings,Development Company,1,"Aksoy Plaza, Maslak, AOS 55 Sk. No: 2, 34475 Sariyer, Istanbul, Turkey",developers-aksoy-holdings
Alfonso Jurado Architecture (AJ/A),Architecture Firm,1,"1035 N Miami Ave., Suite 406, Miami, FL 33136",developers-alfonso-jurado-architecture-aj-a
Aman Interiors,Interior Design Firm,1,"75 Grosvenor Street, Mayfair, London W1K 3JS, United Kingdom",developers-aman-interiors
Aman Resorts,Hospitality Operator,1,"Grabenstrasse 17, 6340 Baar, Switzerland",developers-aman-resorts
"Anantara Hotels, Resorts & Spas",Brand Partner,1,"88 The PARQ Building, 12th Fl. Ratchadaphisek Road, Bangkok, Bangkok 10110, TH",developers-anantara-hotels-resorts-spas
Anastassiadis,Interior Design Firm,1,"Rua Ceara 436, Higienopolis, Sao Paulo, SP, 01243-010, Brazil",developers-anastassiadis
AQARAT,Development Company,1,"Darwazat Abdul Razak Street, Souk Al Kuwait Building 8th Floor, Block B, P.O. Box 1257, Safat, 13013, Kuwait",developers-aqarat
Arhidiza,Interior Design Firm,1,"16950 N BAY RD, APT 804, Sunny Isles Beach, FL 33160",developers-arhidiza
Ark Capital Group,Development Company,1,"1000 N. Hiatus Rd., Suite 103, Pembroke Pines, FL 33026",developers-ark-capital-group
Armani/Casa Interior Design Studio,Interior Design Firm,1,,developers-armani-casa-interior-design-studio
Armentano Arquitetura,Interior Design Firm,1,"Fidêncio Ramos St 101, 14th floor, Vila Olímpia, São Paulo, Brazil",developers-armentano-arquitetura
